Altium Designer Pick and Place Locations
E:\01.learning\05_altium\project\生日礼物V2\Project Outputs for 生日礼物V2\Pick Place\Pick Place for 生日礼物V2.csv

========================================================================================================================
File Design Information:

Date:       23/10/22
Time:       22:58
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"OSC_32K","","TopLayer","osc_32.768K","2050.000","155.000","180",""
"C4","","TopLayer","CAP","2270.000","359.055","90",""
"C3","","TopLayer","CAP","2085.000","359.055","90",""
"J1","CON8","TopLayer","CON8","825.000","3785.000","360",""
"L19","","TopLayer","LED_5MM-Y","2185.001","805.000","50",""
"VOICE","","TopLayer","VOICE","250.000","2685.000","90",""
"T1","TEMPERATURE","BottomLayer","TEMP_SENSOR","5295.000","3080.000","180","温度传感器"
"U1","","TopLayer","DIP28","395.360","1023.844","360","Atmel Microcontroller - Library created by carel..  <www.mpfreezone.com>"
"S3","swtich2","BottomLayer","switch","5692.000","3043.110","180",""
"S2","swtich2","BottomLayer","switch","5692.000","2552.796","180","按钮触发"
"S1","switch","BottomLayer","switch","5693.000","2060.354","180","主开关"
"Q1","S8050","TopLayer","TO92","1333.000","1020.000","270","高频放大-NPN型"
"OSC","OSC","TopLayer","OSC_HC-49U","890.000","520.512","270","晶振 32.768KHZ"
"LCD1602","","TopLayer","LCD1602","2515.000","2899.370","0",""
"DS1302","DS1302","TopLayer","DS1302","1735.000","540.000","180",""
"C2","","TopLayer","CAP","1204.151","614.520","360",""
"C1","","TopLayer","CAP","1204.055","415.000","360",""
"L32","","TopLayer","LED_5MM-Y","2895.000","3269.370","270",""
"L31","","TopLayer","LED_5MM-Y","2615.000","3510.000","270",""
"L30","","TopLayer","LED_5MM-Y","2315.000","3635.000","270",""
"L29","","TopLayer","LED_5MM-Y","2000.000","3730.000","270",""
"L28","","TopLayer","LED_5MM-Y","1660.000","3680.000","270",""
"L27","","TopLayer","LED_5MM-Y","1345.000","3525.000","300",""
"L26","","TopLayer","LED_5MM-Y","1125.000","3255.000","320",""
"L25","","TopLayer","LED_5MM-Y","1015.000","2889.370","360",""
"L24","","TopLayer","LED_5MM-Y","1025.000","2509.370","0",""
"L23","","TopLayer","LED_5MM-Y","1108.974","2131.071","20",""
"L22","","TopLayer","LED_5MM-Y","1264.685","1728.239","25",""
"L21","","TopLayer","LED_5MM-Y","1581.698","1372.860","40",""
"L20","","TopLayer","LED_5MM-Y","1865.000","1075.000","40",""
"L18","","TopLayer","LED_5MM-Y","2500.000","574.370","60",""
"L17","","TopLayer","LED_5MM-Y","2890.000","364.370","90",""
"L16","","TopLayer","LED_5MM-Y","3160.000","364.370","90",""
"L15","","TopLayer","LED_5MM-Y","3515.000","565.000","120",""
"L14","","TopLayer","LED_5MM-Y","3879.999","795.000","130",""
"L13","","TopLayer","LED_5MM-Y","4180.000","1060.000","130",""
"L12","","TopLayer","LED_5MM-Y","4523.302","1367.231","140",""
"L11","","TopLayer","LED_5MM-Y","4780.315","1673.239","155",""
"L10","","TopLayer","LED_5MM-Y","4925.000","2079.371","160",""
